iter	Passed	Remaining
231	13846	15995
232	13903	15932
233	13960	15870
234	14017	15806
235	14077	15747
236	14137	15688
237	14194	15626
238	14254	15566
239	14310	15502
240	14365	15438
241	14430	15384
242	14489	15324
243	14544	15260
244	14605	15201
245	14659	15136
246	14721	15079
247	14789	15027
248	14852	14971
249	14906	14906
250	14963	14844
251	15018	14779
252	15077	14719
253	15139	14662
254	15198	14602
255	15253	14538
256	15311	14477
257	15371	14418
258	15426	14354
259	15481	14290
260	15543	14232
261	15603	14174
262	15665	14116
263	15729	14060
264	15791	14004
265	15850	13944
266	15906	13880
267	15962	13817
268	16027	13763
269	16087	13703
270	16148	13646
271	16210	13588
272	16269	13527
273	16327	13466
274	16384	13405
275	16445	13346
276	16507	13289
277	16570	13232
278	16649	13187
279	16712	13131
280	16772	13071
281	16835	13014
282	16897	12957
283	16955	12895
284	17011	12833
285	17069	12772
286	17135	12717
287	17190	12653
288	17255	12598
289	17317	12540
290	17372	12477
291	17435	12419
292	17497	12361
293	17552	12298
294	17620	12244
295	17692	12193
296	17757	12137
297	17814	12075
298	17877	12017
299	17938	11959
300	18001	11901
301	18071	11848
302	18134	11790
303	18194	11730
304	18251	11669
305	18307	11606
306	18373	11550
307	18438	11493
308	18501	11436
309	18563	11377
310	18619	11315
311	18694	11264
312	18757	11206
313	18824	11150
314	18888	11093
315	18958	11039
316	19019	10979
317	19082	10921
318	19146	10863
319	19209	10805
320	19272	10746
321	19338	10690
322	19401	10632
323	19470	10576
324	19530	10516
325	19593	10457
326	19660	10401
327	19717	10339
328	19777	10279
329	19837	10219
330	19902	10161
331	19962	10101
332	20027	10044
333	20088	9984
334	20151	9925
335	20212	9865
336	20270	9804
337	20325	9741
338	20389	9683
339	20449	9623
340	20509	9562
341	20567	9501
342	20625	9440
343	20688	9382
344	20745	9320
345	20807	9261
346	20864	9199
347	20919	9137
348	20986	9080
349	21049	9021
350	21115	8963
351	21190	8909
352	21247	8847
353	21314	8790
354	21379	8732
355	21445	8674
356	21501	8612
357	21562	8552
358	21619	8491
359	21685	8433
360	21747	8373
361	21807	8313
362	21863	8251
363	21924	8191
364	21989	8133
365	22046	8071
366	22104	8010
367	22172	7953
368	22230	7892
369	22290	7831
370	22358	7774
371	22434	7719
372	22497	7660
373	22564	7602
374	22623	7541
375	22693	7483
376	22762	7426
377	22824	7366
378	22880	7304
379	22941	7244
380	22997	7182
381	23064	7124
382	23129	7065
383	23193	7006
384	23258	6947
385	23321	6887
386	23384	6828
387	23452	6769
388	23519	6711
389	23583	6651
390	23648	6592
391	23709	6532
392	23773	6472
393	23829	6411
394	23889	6350
395	23945	6288
396	24004	6227
397	24060	6166
398	24115	6104
399	24173	6043
400	24231	5982
401	24291	5921
402	24358	5863
403	24420	5802
404	24479	5742
405	24545	5682
406	24612	5623
407	24676	5564
408	24749	5506
409	24815	5447
410	24878	5387
411	24938	5326
412	24995	5265
413	25056	5205
414	25115	5144
415	25172	5082
416	25233	5022
417	25293	4961
418	25351	4900
419	25407	4839
420	25463	4778
421	25519	4716
422	25578	4656
423	25644	4596
424	25728	4540
425	25797	4481
426	25861	4421
427	25923	4361
428	25985	4300
429	26044	4239
430	26106	4179
431	26170	4119
432	26234	4059
433	26290	3998
434	26353	3937
435	26413	3877
436	26469	3816
437	26530	3755
438	26589	3694
439	26649	3634
440	26717	3574
441	26795	3516
442	26860	3456
443	26925	3395
444	26993	3336
445	27053	3275
446	27110	3214
447	27171	3153
448	27242	3094
449	27308	3034
450	27373	2974
451	27430	2912
452	27491	2852
453	27551	2791
454	27605	2730
455	27665	2669
456	27721	2608
457	27795	2548
458	27866	2489
459	27958	2431
460	28016	2370
461	28075	2309
462	28142	2248
463	28206	2188
464	28262	2127
465	28320	2066
466	28375	2005
467	28436	1944
468	28495	1883
469	28558	1822
470	28618	1762
471	28681	1701
472	28743	1640
473	28813	1580
474	28870	1519
475	28936	1458
476	28993	1398
477	29055	1337
478	29116	1276
479	29179	1215
480	29246	1155
481	29310	1094
482	29374	1033
483	29428	972
484	29485	911
485	29543	851
486	29607	790
487	29662	729
488	29717	668
489	29773	607
490	29839	546
491	29901	486
492	29959	425
493	30015	364
494	30071	303
495	30127	242
496	30195	182
497	30260	121
498	30318	60
499	30382	0
