iter	Logloss
0	0.6044202016
1	0.5286856854
2	0.4736716675
3	0.429604869
4	0.3901828803
5	0.3580016856
6	0.3314387013
7	0.3104745074
8	0.2918358255
9	0.2782328592
10	0.2633608559
11	0.2513252397
12	0.2421038805
13	0.2339751624
14	0.2272719528
15	0.2204450373
16	0.2151311757
17	0.2113887328
18	0.2067963692
19	0.2030972731
20	0.2002754952
21	0.1972546251
22	0.1941889095
23	0.191449653
24	0.1889790967
25	0.1864510245
26	0.1840348174
27	0.1815976006
28	0.1796993614
29	0.1777635306
30	0.176310865
31	0.1747096507
32	0.1728990556
33	0.1716723763
34	0.1703841505
35	0.1688618845
36	0.1679118384
37	0.166427638
38	0.1653427927
39	0.16446952
40	0.1633669493
41	0.1621501819
42	0.1614238369
43	0.1607169806
44	0.1597147669
45	0.1588021301
46	0.1578892307
47	0.1571517204
48	0.1564406672
49	0.1558492018
50	0.1555058155
51	0.1550481257
52	0.1545700174
53	0.1542420028
54	0.1538148886
55	0.153392628
56	0.1530274145
57	0.1526185735
58	0.1521401394
59	0.1517791986
60	0.1512998297
61	0.1512447878
62	0.150816709
63	0.150614263
64	0.1503526663
65	0.1499889367
66	0.1497069116
67	0.1491334046
68	0.1489310125
69	0.1483307868
70	0.1482711318
71	0.1480801234
72	0.1477721923
73	0.1475939156
74	0.1474154649
75	0.1471154844
76	0.1469279304
77	0.1467286895
78	0.1467087869
79	0.1465748328
80	0.1462804032
81	0.1459049079
82	0.1457489012
83	0.1454607319
84	0.1451572352
85	0.1449692779
86	0.1449057112
87	0.1445470147
88	0.1443017819
89	0.1440560034
90	0.1437620422
91	0.1435946329
92	0.1434602036
93	0.1432520079
94	0.1431214923
95	0.1430089604
96	0.1428903762
97	0.1427715837
98	0.1424512375
99	0.1421637726
100	0.1419983532
101	0.141726456
102	0.1416269886
103	0.1414280056
104	0.141274773
105	0.141120296
106	0.1408869465
107	0.1407830126
108	0.1405813734
109	0.1404901312
110	0.1403283381
111	0.1403148409
112	0.1402031919
113	0.1401402442
114	0.1400355424
115	0.1397771251
116	0.1397438811
117	0.1395737255
118	0.1394267274
119	0.1392010286
120	0.1390520032
121	0.1389812327
122	0.1387982558
123	0.1387841551
124	0.1387358026
125	0.1387356381
126	0.1385688214
127	0.1384002533
128	0.1382382233
129	0.1380778757
130	0.1380636551
131	0.1380390151
132	0.1379770489
133	0.1379255601
134	0.1378658694
135	0.1377851792
136	0.1376659392
137	0.1375458666
138	0.137545866
139	0.1372713863
140	0.1370965975
141	0.137036599
142	0.1370305068
143	0.1368855085
144	0.1368633732
145	0.1368633549
146	0.1368496087
147	0.1367781271
148	0.1367597453
149	0.1366637596
150	0.1366363332
151	0.1365492758
152	0.1364651817
153	0.1363927132
154	0.1362532192
155	0.1361544801
156	0.1360450017
157	0.1359431013
158	0.1357472269
159	0.1356758347
160	0.1356407398
161	0.1354356258
162	0.1354314171
163	0.1352780114
164	0.1351814268
165	0.1350836083
166	0.1350512288
167	0.1350322247
168	0.1350285394
169	0.1348315495
170	0.1346806003
171	0.1345871144
172	0.1345154609
173	0.1344015686
174	0.1342625685
175	0.1342371907
176	0.1341591254
177	0.1340602341
178	0.1340525719
179	0.1339774689
180	0.1338766055
181	0.1338451946
182	0.1337604463
183	0.1336060833
184	0.1335781685
185	0.1335071106
186	0.1334828673
187	0.1333932685
188	0.1333374123
189	0.1332818961
190	0.1332818933
191	0.1332694669
192	0.1331802409
193	0.1330879593
194	0.1329552213
195	0.1328159022
196	0.1326972148
197	0.1325766603
198	0.132471595
199	0.1323779477
200	0.1322933759
201	0.132174555
202	0.132023383
203	0.1319407965
204	0.1319079536
205	0.1319013756
206	0.1318972641
207	0.1317417494
208	0.131510766
209	0.131432042
210	0.1314000353
211	0.1313472608
212	0.1313355399
213	0.1312967084
214	0.1311533367
215	0.1310803232
216	0.1310263537
217	0.1309264306
218	0.1308566821
219	0.1307930442
220	0.1307463654
221	0.1306803319
222	0.1305775607
223	0.1304082583
224	0.1301756802
225	0.1300250543
226	0.1298471278
227	0.129797248
228	0.1297587746
229	0.1297232706
230	0.1295647758
231	0.1294796762
232	0.1294375489
233	0.1293765824
234	0.1293181111
235	0.1292745848
236	0.1292182937
237	0.1291403363
238	0.1291021074
239	0.1290585314
240	0.1289693391
241	0.1289523865
242	0.1289460103
243	0.1289323197
244	0.1289247504
245	0.1289072513
246	0.128872648
247	0.1287216295
248	0.1286289963
249	0.1285897995
250	0.1285451532
251	0.1285169917
252	0.1283974207
253	0.1283466391
254	0.1282856765
255	0.1282372148
256	0.1281867595
257	0.1280284118
258	0.1279823466
259	0.1279259754
260	0.1278347552
261	0.1278234726
262	0.1277544982
263	0.1276448478
264	0.1275444798
265	0.1274609748
266	0.1274223592
267	0.127264363
268	0.1271235821
269	0.1270333863
270	0.126870531
271	0.1268450252
272	0.1268004371
273	0.126775802
274	0.1267335953
275	0.1266547628
276	0.1265563477
277	0.1264808322
278	0.1264456854
279	0.126374597
280	0.126251521
281	0.1261304868
282	0.1260470965
283	0.1259109773
284	0.1258900866
285	0.1257908428
286	0.1257220777
287	0.1256545268
288	0.1256155323
289	0.1255375759
290	0.1254671162
291	0.1254199035
292	0.1253414139
293	0.1253077182
294	0.1250993553
295	0.1249842846
296	0.1249541642
297	0.1248959393
298	0.1247788965
299	0.1246522355
300	0.1244821639
301	0.1243786465
302	0.1243314336
303	0.1242118799
304	0.1242058326
305	0.1241330639
306	0.1240181212
307	0.1239843713
308	0.1238946677
309	0.1238071036
310	0.123786787
311	0.1237568822
312	0.1236721169
313	0.1236084425
314	0.1235852996
315	0.1234717569
316	0.1234059995
317	0.1233718851
318	0.1233309301
319	0.1231941158
320	0.1231786057
321	0.1231326168
322	0.1231063368
323	0.1230144241
324	0.1229768397
325	0.1229419903
326	0.122897394
327	0.1228398988
328	0.1227841876
329	0.1226487182
330	0.1225361668
331	0.1224728812
332	0.1223822922
333	0.1223286816
334	0.1222695296
335	0.122228632
336	0.1222106955
337	0.1221251075
338	0.1220571672
339	0.1219885404
340	0.1219164505
341	0.1218792081
342	0.1217711964
343	0.1217455705
344	0.1217173605
345	0.1216282432
346	0.1215991282
347	0.1215563071
348	0.1214770118
349	0.1214420807
350	0.1213454505
351	0.1213118175
352	0.1212768876
353	0.121106084
354	0.1210104983
355	0.120973848
356	0.1208868584
357	0.1208116477
358	0.1207832257
359	0.120747794
360	0.1206357756
361	0.1206116288
362	0.1205001317
363	0.1204308412
364	0.1203679719
365	0.1203038519
366	0.1202373908
367	0.1201987771
368	0.1201648497
369	0.1200281723
370	0.1199891943
371	0.119939583
372	0.1198585327
373	0.1198362865
374	0.1197275632
375	0.1196633464
376	0.1196069726
377	0.1195617356
378	0.1195136258
379	0.1194818869
380	0.1194239105
381	0.1193627385
382	0.1193293226
383	0.1192943952
384	0.1192389358
385	0.1192091066
386	0.1191525434
387	0.1191129372
388	0.1190894854
389	0.1190491538
390	0.1189640921
391	0.11889486
392	0.118834732
393	0.1187896331
394	0.1187108648
395	0.118615783
396	0.1185319958
397	0.1184664839
398	0.1183817237
399	0.1183410286
400	0.118255708
401	0.1181803776
402	0.118123391
403	0.1180935257
404	0.118010687
405	0.1179146828
406	0.1178433529
407	0.1177246439
408	0.1176472602
409	0.1175736577
410	0.1174989591
411	0.1174326409
412	0.1173843159
413	0.1172825652
414	0.1172385506
415	0.1171974923
416	0.1171205371
417	0.117015083
418	0.1169986436
419	0.1169503711
420	0.1169072057
421	0.1168247553
422	0.1167760979
423	0.1167335283
424	0.1166147868
425	0.1165966687
426	0.1165304935
427	0.1164901281
428	0.1164442826
429	0.116406403
430	0.1163440631
431	0.1162649722
432	0.1161671991
433	0.1161179533
434	0.1160939854
435	0.1160046027
436	0.1159495783
437	0.1159223198
438	0.1159052543
439	0.1158471645
440	0.115791181
441	0.115735304
442	0.115705069
443	0.1156915941
444	0.1156245343
445	0.1155070961
446	0.1153992476
447	0.1153509184
448	0.115228267
449	0.1151450376
450	0.1150676625
451	0.1150002109
452	0.1149380146
453	0.1148971808
454	0.1148801788
455	0.1147691698
456	0.1147515976
457	0.1146838217
458	0.1146376287
459	0.1146037655
460	0.1145340654
461	0.1144428723
462	0.1143821991
463	0.1143021997
464	0.1142693347
465	0.1142047845
466	0.1141625838
467	0.1141172858
468	0.114062491
469	0.1139910848
470	0.1139448439
471	0.1138981876
472	0.1138900347
473	0.1138662065
474	0.1138049494
475	0.1136887939
476	0.1136659413
477	0.1136059078
478	0.1135612532
479	0.1134889971
480	0.1134081142
481	0.1133461749
482	0.1132586019
483	0.1132393747
484	0.1132296091
485	0.1130802126
486	0.1130264451
487	0.1129950552
488	0.1129661535
489	0.1129255552
490	0.1128767061
491	0.112802817
492	0.1127862607
493	0.1127225737
494	0.1126385246
495	0.1125564274
496	0.1125211698
497	0.1124615515
498	0.1124156208
499	0.1123826788
