model,cv_folds,roc_auc_mean,roc_auc_std,avg_precision_mean,accuracy_mean,f1_mean,train_time_mean,train_time_std
HistGradientBoosting,5,0.9841093801045899,0.0030068123985523233,0.9957291920177701,0.9412286298456511,0.9625562828604786,2.4366195678710936,1.6086491817762931
XGBoost,5,0.983864294580034,0.00295134626406206,0.9956602431177048,0.9419041914254679,0.9630178094217662,0.7984877109527588,0.07583982141126297
LightGBM,5,0.9811199471236595,0.0038766082171068374,0.9949440300977688,0.9385941792856686,0.960852610708702,1.0884509563446045,0.023252700357302473
LogisticRegression(saga),5,0.977351128823004,0.002943351865674947,0.9938895523446505,0.9287305238369068,0.9552151760555972,0.7155426025390625,0.0514617275476957
RandomForest(200),5,0.9677331243520317,0.004488978347839561,0.9906539745954733,0.8819157379263762,0.9295506152621043,0.9579834938049316,0.06251669444381122
