model,cv_folds,roc_auc_mean,roc_auc_std,avg_precision_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
XGBoost,5,0.9839016859916179,0.0029461253378089834,0.995672957370965,0.9421743475998795,0.9615520911928943,0.9648673360763782,0.9632040618557156
LogisticRegression(saga),5,0.9831197479428567,0.0026287769940816484,0.9954680460575427,0.922989106127404,0.9849014689983436,0.9158708017751556,0.9491270819195348
HistGradientBoosting,5,0.9803926388536253,0.0031826111158818203,0.9943608005910999,0.9329193935576914,0.9460810133865424,0.9697757844540774,0.9577720602493018
RandomForest(300),5,0.9788941044424633,0.0033752990032041782,0.9941576509306843,0.9271096324287813,0.9726314661740941,0.9333507600844344,0.9525847231230603
LightGBM,5,0.9786157677399714,0.004263635693018641,0.9942016554584349,0.9329871436786329,0.9659506403844386,0.9479901579642291,0.9568743548575476
